
> app044-reading-log@0.1.0 lint
> eslint


/home/ustar-wsl-2-2/projects/100apps/app044-reading-log/app/books/[id]/page.tsx
  65:72  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any

/home/ustar-wsl-2-2/projects/100apps/app044-reading-log/components/BookList.tsx
  44:19  warning  Using `<img>` could result in slower LCP and higher bandwidth. Consider using `<Image />` from `next/image` or a custom image loader to automatically optimize images. This may incur additional usage or cost from your provider. See: https://nextjs.org/docs/messages/no-img-element  @next/next/no-img-element

/home/ustar-wsl-2-2/projects/100apps/app044-reading-log/public/sw.js
  1:156  warning  Expected an assignment or function call and instead saw an expression  @typescript-eslint/no-unused-expressions
  1:209  warning  Expected an assignment or function call and instead saw an expression  @typescript-eslint/no-unused-expressions
  1:626  warning  Expected an assignment or function call and instead saw an expression  @typescript-eslint/no-unused-expressions

/home/ustar-wsl-2-2/projects/100apps/app044-reading-log/public/swe-worker-5c72df51bb1f6ee0.js
  1:700  warning  Expected an assignment or function call and instead saw an expression  @typescript-eslint/no-unused-expressions

/home/ustar-wsl-2-2/projects/100apps/app044-reading-log/public/workbox-f1770938.js
  1:49     warning  Expected an assignment or function call and instead saw an expression  @typescript-eslint/no-unused-expressions
  1:87     warning  't' is defined but never used                                          @typescript-eslint/no-unused-vars
  1:211    warning  Expected an assignment or function call and instead saw an expression  @typescript-eslint/no-unused-expressions
  1:257    warning  Expected an assignment or function call and instead saw an expression  @typescript-eslint/no-unused-expressions
  1:298    warning  't' is defined but never used                                          @typescript-eslint/no-unused-vars
  1:381    warning  Expected an assignment or function call and instead saw an expression  @typescript-eslint/no-unused-expressions
  1:642    warning  Expected an assignment or function call and instead saw an expression  @typescript-eslint/no-unused-expressions
  1:813    warning  Expected an assignment or function call and instead saw an expression  @typescript-eslint/no-unused-expressions
  1:989    warning  Expected an assignment or function call and instead saw an expression  @typescript-eslint/no-unused-expressions
  1:1093   warning  Expected an assignment or function call and instead saw an expression  @typescript-eslint/no-unused-expressions
  1:1738   warning  Expected an assignment or function call and instead saw an expression  @typescript-eslint/no-unused-expressions
  1:2263   warning  Expected an assignment or function call and instead saw an expression  @typescript-eslint/no-unused-expressions
  1:3058   warning  Expected an assignment or function call and instead saw an expression  @typescript-eslint/no-unused-expressions
  1:3102   warning  't' is defined but never used                                          @typescript-eslint/no-unused-vars
  1:3598   warning  Expected an assignment or function call and instead saw an expression  @typescript-eslint/no-unused-expressions
  1:3727   warning  Expected an assignment or function call and instead saw an expression  @typescript-eslint/no-unused-expressions
  1:7052   warning  Expected an assignment or function call and instead saw an expression  @typescript-eslint/no-unused-expressions
  1:7234   warning  Expected an assignment or function call and instead saw an expression  @typescript-eslint/no-unused-expressions
  1:7954   warning  'i' is defined but never used                                          @typescript-eslint/no-unused-vars
  1:7962   warning  Expected an assignment or function call and instead saw an expression  @typescript-eslint/no-unused-expressions
  1:8066   warning  Expected an assignment or function call and instead saw an expression  @typescript-eslint/no-unused-expressions
  1:8368   warning  Expected an assignment or function call and instead saw an expression  @typescript-eslint/no-unused-expressions
  1:9440   warning  Expected an assignment or function call and instead saw an expression  @typescript-eslint/no-unused-expressions
  1:9550   warning  Expected an assignment or function call and instead saw an expression  @typescript-eslint/no-unused-expressions
